time;ID;sentrank;children;sentvn;vnincreased;sentDIO;generatedDAO;forwardedDAO;generatedNPDAO;forwardedNPDAO;ttlsent;receivedDIO;receivedDAO;ttlrcvd;forwardedData;total_energy;attack
2;29;955;0;240;1;4;4;0;0;0;9;18;0;19;0;145;0
2;9;1337;0;240;1;4;4;2;0;1;12;22;3;27;0;163;0
2;12;768;0;240;1;4;3;3;0;0;11;15;3;20;0;129;0
2;3;1024;0;240;1;6;4;0;1;0;12;8;0;10;0;157;0
2;7;1052;0;240;1;5;4;3;1;2;16;13;5;18;0;237;0
2;21;768;0;240;1;5;2;0;0;0;8;16;0;16;0;122;0
2;5;742;0;240;1;5;3;25;0;4;38;22;30;53;0;243;0
2;8;1068;0;240;1;7;4;0;2;0;14;19;0;19;0;169;0
2;17;521;0;240;1;5;4;7;0;0;17;27;7;36;0;153;0
2;18;837;0;240;1;6;3;1;3;1;15;18;2;24;0;237;0
2;30;971;0;240;1;7;3;2;1;0;14;20;2;24;0;238;0
2;19;512;0;240;1;4;3;12;3;3;26;18;15;35;0;173;0
2;24;534;0;240;1;4;3;8;0;0;16;22;9;31;0;142;0
2;11;1064;0;240;1;4;4;7;0;1;17;14;8;24;0;208;0
2;14;790;0;240;1;8;3;2;1;0;15;19;3;24;0;189;0
2;26;512;0;240;1;5;4;14;2;3;29;22;20;44;0;194;0
2;31;822;0;240;1;5;2;16;0;2;26;16;18;34;0;244;0
2;10;512;0;240;1;4;4;1;0;0;10;16;1;19;0;108;0
2;6;1024;0;240;1;8;4;0;1;0;14;6;0;6;0;173;0
2;22;768;0;240;1;8;4;1;2;1;17;15;2;19;0;232;0
2;20;1068;0;240;1;8;6;0;1;0;16;21;0;24;0;184;0
2;16;790;0;240;1;7;4;6;1;1;20;24;7;33;0;226;0
2;4;768;0;240;1;8;4;2;1;0;16;18;2;21;0;216;0
2;25;768;0;240;1;7;2;0;1;0;11;11;0;11;0;147;0
2;28;768;0;240;1;6;2;0;1;0;10;12;0;13;0;128;0
4;29;961;0;240;0;3;0;0;0;0;3;7;0;7;0;76;0
4;9;1046;0;240;0;6;2;0;2;0;10;9;0;9;0;109;0
4;12;975;0;240;0;2;1;1;0;0;4;8;1;9;0;86;0
4;3;1231;0;240;0;4;1;0;0;0;5;4;0;4;0;84;0
4;7;996;0;240;0;2;1;0;1;0;4;4;0;4;0;87;0
4;21;998;0;240;0;1;1;0;0;0;2;5;0;5;0;73;0
4;5;609;0;240;0;1;1;4;4;2;12;4;9;13;0;112;0
4;8;1065;0;240;0;3;1;0;0;0;4;7;0;7;0;79;0
4;17;517;0;240;0;1;1;4;0;0;6;9;4;13;0;96;0
4;18;892;0;240;0;3;2;0;0;0;5;8;0;8;0;98;0
4;30;959;0;240;0;3;1;0;0;0;4;7;0;7;0;73;0
4;24;512;0;240;0;3;1;5;0;0;9;4;6;10;0;114;0
4;19;662;0;240;0;3;1;2;0;0;6;7;2;9;0;79;0
4;11;1046;0;240;0;5;2;0;3;1;11;7;2;9;0;138;0
4;14;790;0;240;0;2;0;3;0;0;5;10;3;13;0;93;0
4;26;512;0;240;0;2;1;3;1;0;7;11;4;15;0;116;0
4;31;1028;0;240;0;2;1;1;3;2;9;6;4;10;0;98;0
4;10;512;0;240;0;3;1;0;0;0;4;9;0;9;0;82;0
4;6;1033;0;240;0;3;1;0;0;0;4;4;0;4;0;72;0
4;22;777;0;240;0;3;1;0;0;0;4;4;0;4;0;72;0
4;20;1065;0;240;0;2;1;0;0;0;3;10;0;10;0;75;0
4;16;790;0;240;0;2;0;2;1;0;5;14;3;17;0;107;0
4;4;777;0;240;0;2;1;1;0;0;4;5;1;6;0;69;0
4;25;768;0;240;0;2;0;0;0;0;2;4;0;4;0;63;0
4;28;998;0;240;0;3;1;0;0;0;4;3;0;3;0;77;0
6;29;941;0;240;0;1;1;0;0;0;2;6;0;6;0;59;0
6;9;1046;0;240;0;2;1;0;0;0;3;7;0;7;0;68;0
6;12;768;0;240;0;7;1;5;1;0;14;2;5;7;0;127;0
6;3;1024;0;240;0;1;5;0;0;0;6;7;0;7;0;76;0
6;7;768;0;240;0;4;1;0;1;0;6;4;0;4;0;83;0
6;21;824;0;240;0;2;1;0;0;0;3;4;0;4;0;66;0
6;5;557;0;240;0;3;0;3;1;0;7;6;4;10;0;91;0
6;8;1063;0;240;0;2;1;0;0;0;3;6;0;6;0;76;0
6;17;512;0;240;0;3;0;5;0;0;8;4;5;9;0;104;0
6;18;905;0;240;0;2;0;0;0;0;2;9;0;9;0;64;0
6;30;959;0;240;0;0;1;0;0;0;1;7;0;7;0;59;0
6;24;512;0;240;0;2;0;6;0;0;8;6;6;12;0;84;0
6;19;633;0;240;0;1;0;1;1;1;4;10;2;12;0;70;0
6;11;1024;0;240;0;3;2;0;0;0;5;5;0;5;0;81;0
6;14;790;0;240;0;3;1;2;0;0;6;4;2;6;0;87;0
6;26;512;0;240;0;1;0;6;0;1;8;8;7;15;0;72;0
6;31;866;0;240;0;2;1;0;1;0;4;5;0;5;0;87;0
6;10;512;0;240;0;2;0;1;0;0;3;10;1;11;0;66;0
6;6;1050;0;240;0;2;2;0;0;0;4;2;0;2;0;74;0
6;22;797;0;240;0;2;1;0;0;0;3;5;0;5;0;71;0
6;20;1063;0;240;0;2;0;0;0;0;2;4;0;4;0;67;0
6;16;768;0;240;0;2;1;2;0;0;5;8;2;10;0;81;0
6;4;794;0;240;0;2;1;2;0;0;5;3;2;5;0;87;0
6;25;768;0;240;0;3;0;0;0;0;3;4;0;4;0;64;0
6;28;824;0;240;0;2;1;0;0;0;3;3;0;3;0;63;0
8;29;941;0;240;0;3;1;0;0;0;4;3;0;3;0;74;0
8;9;1046;0;240;0;3;0;0;0;0;3;2;0;2;0;65;0
8;12;768;0;240;0;2;1;1;0;0;4;6;1;7;0;74;0
8;3;1024;0;240;0;1;1;0;0;0;2;4;0;4;0;57;0
8;7;768;0;240;0;3;0;0;0;0;3;6;0;6;0;71;0
8;21;824;0;240;0;2;0;0;0;0;2;5;0;5;0;62;0
8;5;557;0;240;0;1;0;0;0;0;1;6;0;6;0;63;0
8;8;768;0;240;0;5;2;0;1;0;8;6;0;6;0;94;0
8;17;512;0;240;0;2;0;4;0;0;6;3;4;7;0;67;0
8;18;905;0;240;0;1;1;0;0;0;2;3;0;3;0;67;0
8;30;914;0;240;0;2;1;0;0;0;3;2;0;2;0;66;0
8;24;512;0;240;0;2;0;1;1;1;5;2;3;5;0;74;0
8;19;620;0;240;0;2;0;0;0;0;2;5;0;5;0;63;0
8;11;1024;0;240;0;3;0;0;0;0;3;3;0;3;0;66;0
8;14;768;0;240;0;1;0;0;1;1;3;7;1;8;0;89;0
8;26;512;0;240;0;2;0;4;1;0;7;7;4;11;0;70;0
8;31;866;0;240;0;2;0;0;0;0;2;5;0;5;0;84;0
8;10;512;0;240;0;1;0;3;0;0;4;11;3;14;0;65;0
8;6;1050;0;240;0;1;0;0;0;0;1;0;0;0;0;47;0
8;22;797;0;240;0;0;1;0;0;0;1;5;0;5;0;56;0
8;20;1039;0;240;0;1;1;0;0;0;2;7;0;7;0;65;0
8;16;768;0;240;0;1;0;1;0;0;2;6;1;7;0;68;0
8;4;785;0;240;0;1;2;0;0;0;3;5;0;5;0;66;0
8;25;768;0;240;0;2;1;0;0;0;3;7;0;7;0;63;0
8;28;824;0;240;0;3;0;0;0;0;3;1;0;1;0;69;0
10;29;907;0;240;0;1;1;0;0;0;2;4;0;4;0;56;0
10;9;1069;0;240;0;1;1;0;0;0;2;5;0;5;0;66;0
10;12;768;0;240;0;2;0;1;0;0;3;2;1;3;0;71;0
10;3;1024;0;240;0;2;1;0;0;0;3;1;0;1;0;64;0
10;7;768;0;240;0;2;0;0;0;0;2;2;0;2;0;57;0
10;21;813;0;240;0;2;1;0;0;0;3;3;0;3;0;62;0
10;5;540;0;240;0;2;1;4;0;0;7;2;4;6;0;69;0
10;8;768;0;240;0;2;0;0;0;0;2;4;0;4;0;65;0
10;17;512;0;240;0;1;1;2;0;0;4;5;2;7;0;59;0
10;18;891;0;240;0;1;0;0;0;0;1;5;0;5;0;62;0
10;30;914;0;240;0;1;0;0;0;0;1;4;0;4;0;59;0
10;24;512;0;240;0;0;1;1;0;0;2;5;1;6;0;95;0
10;19;839;0;240;0;1;1;0;0;0;2;4;0;4;0;92;0
10;11;1024;0;240;0;0;0;0;0;0;0;2;0;2;0;50;0
10;14;813;0;240;0;3;0;1;0;0;4;4;1;5;0;72;0
10;26;512;0;240;0;1;1;2;0;0;4;3;2;5;0;62;0
10;31;866;0;240;0;0;1;0;0;0;1;2;0;2;0;67;0
10;10;512;0;240;0;1;1;0;0;0;2;4;0;4;0;56;0
10;6;1039;0;240;0;2;1;0;0;0;3;2;0;2;0;65;0
10;22;787;0;240;0;2;1;0;0;0;3;5;0;5;0;63;0
10;20;1039;0;240;0;2;0;0;0;0;2;4;0;4;0;62;0
10;16;768;0;240;0;2;0;0;0;0;2;3;0;3;0;68;0
10;4;781;0;240;0;2;0;1;0;0;3;3;1;4;0;63;0
10;25;768;0;240;0;0;0;0;0;0;0;3;0;3;0;49;0
10;28;796;0;240;0;1;2;0;0;0;3;3;0;3;0;67;0
12;29;880;0;240;0;1;0;0;0;0;1;5;0;5;0;85;0
12;9;1069;0;240;0;1;0;0;0;0;1;3;0;3;0;77;0
12;12;768;0;240;0;6;0;4;0;0;10;1;4;5;0;134;0
12;3;1024;0;240;0;1;4;0;0;0;5;5;0;5;0;85;0
12;7;768;0;240;0;1;0;0;0;0;1;3;0;3;0;75;0
12;21;813;0;240;0;0;0;0;0;0;0;0;0;0;0;56;0
12;5;540;0;240;0;0;0;0;0;0;0;1;0;1;0;107;0
12;8;768;0;240;0;2;0;0;0;0;2;1;0;1;0;88;0
12;17;512;0;240;0;1;0;0;0;0;1;0;0;0;0;124;0
12;18;65535;0;240;0;1;0;0;0;0;1;5;0;5;0;84;1
12;30;885;0;240;0;2;0;0;0;0;2;2;0;2;0;113;0
12;24;723;0;240;0;1;0;0;0;0;1;1;0;1;0;97;0
12;19;776;0;240;0;1;0;0;0;0;1;5;0;5;0;82;0
12;11;1024;0;240;0;3;0;0;0;0;3;0;0;0;0;86;0
12;14;813;0;240;0;0;0;0;0;0;0;0;0;0;0;85;0
12;26;512;0;240;0;1;0;4;0;0;5;6;4;10;0;121;0
12;31;863;0;240;0;1;0;0;0;0;1;4;0;4;0;88;0
12;10;512;0;240;0;1;0;0;0;0;1;5;0;5;0;86;0
12;6;1039;0;240;0;0;0;0;0;0;0;1;0;1;0;81;0
12;22;783;0;240;0;1;0;0;0;0;1;0;0;0;0;80;0
12;20;1035;0;240;0;1;0;0;0;0;1;3;0;3;0;88;0
12;16;768;0;240;0;1;0;0;0;0;1;1;0;1;0;103;0
12;4;777;0;240;0;1;0;0;0;0;1;1;0;1;0;99;0
12;25;768;0;240;0;1;0;0;0;0;1;1;0;1;0;76;0
12;28;796;0;240;0;0;0;0;0;0;0;0;0;0;0;53;0
14;29;880;0;240;0;1;0;0;0;0;1;1;0;1;0;58;0
14;9;1069;0;240;0;2;0;0;0;0;2;0;0;0;0;68;0
14;12;768;0;240;0;1;0;1;0;0;2;1;1;2;0;75;0
14;3;1024;0;240;0;1;1;0;0;0;2;1;0;1;0;68;0
14;7;768;0;240;0;1;1;0;0;0;2;1;0;1;0;61;0
14;21;813;0;240;0;2;0;0;0;0;2;1;0;1;0;97;0
14;5;531;0;240;0;2;0;0;0;0;2;2;0;2;0;86;0
14;8;768;0;240;0;1;0;0;0;0;1;1;0;1;0;83;0
14;17;512;0;240;0;2;0;5;0;0;7;5;5;10;0;90;0
14;18;65535;0;240;0;1;0;0;0;0;1;5;0;5;0;71;1
14;30;885;0;240;0;0;1;0;0;0;1;7;0;7;0;70;0
14;24;723;0;240;0;1;0;0;0;0;1;1;0;1;0;91;0
14;19;776;0;240;0;0;0;0;0;0;0;6;0;6;0;86;0
14;11;1024;0;240;0;0;0;0;0;0;0;0;0;0;0;52;0
14;14;804;0;240;0;1;0;0;0;0;1;4;0;4;0;88;0
14;26;512;0;240;0;1;0;1;0;0;2;1;1;2;0;77;0
14;31;863;0;240;0;1;0;0;0;0;1;0;0;0;0;74;0
14;10;512;0;240;0;1;0;1;0;0;2;1;1;2;0;61;0
14;6;1041;0;240;0;2;4;0;0;0;6;4;0;4;0;77;0
14;22;783;0;240;0;1;0;0;0;0;1;1;0;1;0;89;0
14;20;1035;0;240;0;1;0;0;0;0;1;1;0;1;0;79;0
14;16;768;0;240;0;1;0;0;0;0;1;1;0;1;0;86;0
14;4;774;0;240;0;4;0;4;0;0;8;2;4;6;0;101;0
14;25;768;0;240;0;1;0;0;0;0;1;1;0;1;0;66;0
14;28;796;0;240;0;2;0;0;0;0;2;1;0;1;0;80;0
16;29;832;0;240;0;6;3;0;0;0;9;13;0;13;0;135;0
16;9;1069;0;240;0;1;1;0;0;0;2;3;0;3;0;64;0
16;12;768;0;240;0;7;2;4;0;0;13;16;4;20;0;182;0
16;3;1024;0;240;0;4;4;0;0;0;8;10;0;10;0;118;0
16;7;768;0;240;0;2;0;0;0;0;2;8;0;8;0;72;0
16;21;813;0;240;0;2;1;0;0;0;3;3;0;3;0;74;0
16;5;529;0;240;0;1;0;1;0;0;2;1;1;2;0;109;0
16;8;768;0;240;0;2;0;0;0;0;2;5;0;5;0;75;0
16;17;512;0;240;0;1;0;3;0;0;4;9;3;12;0;99;0
16;18;65535;0;240;0;2;2;0;0;0;4;20;0;20;0;131;1
16;30;873;0;240;0;2;0;0;0;0;2;6;0;6;0;74;0
16;24;723;0;240;0;1;0;2;0;0;3;3;2;5;0;61;0
16;19;725;0;240;0;6;0;0;0;0;6;8;0;8;0;118;0
16;11;1024;0;240;0;1;1;0;0;0;2;1;0;1;0;74;0
16;14;800;0;240;0;2;0;1;0;0;3;1;1;2;0;74;0
16;26;512;0;240;0;4;0;11;0;0;15;16;11;27;0;164;0
16;31;853;0;240;0;1;0;0;0;0;1;1;0;1;0;62;0
16;10;512;0;240;0;1;0;0;0;0;1;8;0;8;0;92;0
16;6;1038;0;240;0;1;2;0;0;0;3;3;0;3;0;68;0
16;22;783;0;240;0;1;0;0;0;0;1;2;0;2;0;72;0
16;20;1033;0;240;0;2;0;0;0;0;2;3;0;3;0;63;0
16;16;768;0;240;0;1;0;1;0;0;2;4;1;5;0;73;0
16;4;797;0;240;0;6;1;2;0;0;9;7;2;9;0;130;0
16;25;768;0;240;0;2;0;0;0;0;2;2;0;2;0;63;0
16;28;796;0;240;0;2;0;0;0;0;2;1;0;1;0;109;0
18;29;819;0;240;0;2;1;0;0;0;3;8;0;8;0;85;0
18;9;1176;0;240;0;6;2;0;1;0;9;7;0;7;0;168;0
18;12;768;0;240;0;6;1;5;0;0;12;5;5;10;0;144;0
18;3;1024;0;240;0;2;5;0;0;0;7;7;0;7;0;93;0
18;7;768;0;240;0;2;0;0;0;0;2;1;0;1;0;62;0
18;21;785;0;240;0;1;0;0;0;0;1;3;0;3;0;66;0
18;5;525;0;240;0;2;0;0;0;0;2;1;0;1;0;81;0
18;8;768;0;240;0;1;0;1;0;0;2;5;1;6;0;75;0
18;17;512;0;240;0;2;0;4;0;0;6;6;4;10;0;95;0
18;18;65535;0;240;0;2;1;0;0;0;3;11;0;11;0;86;1
18;30;852;0;240;0;1;0;0;0;0;1;6;0;6;0;70;0
18;24;611;0;240;0;2;0;4;0;2;8;2;7;9;0;145;0
18;19;725;0;240;0;2;0;0;0;0;2;9;0;9;0;83;0
18;11;1191;0;240;0;2;1;0;0;0;3;7;0;7;0;102;0
18;14;787;0;240;0;1;0;0;1;1;3;9;1;10;0;126;0
18;26;512;0;240;0;2;0;8;0;0;10;7;8;15;0;93;0
18;31;853;0;240;0;2;0;0;0;0;2;4;0;4;0;116;0
18;10;512;0;240;0;0;0;1;0;0;1;5;1;6;0;71;0
18;6;1079;0;240;0;1;4;0;0;0;5;5;0;5;0;95;0
18;22;783;0;240;0;0;0;0;0;0;0;3;0;3;0;80;0
18;20;1024;0;240;0;5;1;0;1;0;7;7;0;7;0;129;0
18;16;914;0;240;0;3;1;3;0;1;8;11;4;15;0;166;0
18;4;800;0;240;0;5;0;4;0;0;9;3;4;7;0;106;0
18;25;768;0;240;0;1;0;0;0;0;1;1;0;1;0;60;0
18;28;847;0;240;0;1;0;0;0;0;1;1;0;1;0;55;0
20;29;813;0;240;0;2;1;0;0;0;3;6;0;6;0;69;0
20;9;1176;0;240;0;2;0;0;0;0;2;2;0;2;0;69;0
20;12;768;0;240;0;1;1;0;0;0;2;8;0;8;0;69;0
20;3;1024;0;240;0;5;0;0;0;0;5;2;0;2;0;82;0
20;7;768;0;240;0;1;0;0;0;0;1;2;0;2;0;95;0
20;21;785;0;240;0;1;0;0;0;0;1;2;0;2;0;71;0
20;5;525;0;240;0;0;0;0;0;0;0;3;0;3;0;77;0
20;8;768;0;240;0;1;1;0;0;0;2;4;0;4;0;105;0
20;17;512;0;240;0;1;0;2;0;0;3;5;2;7;0;79;0
20;18;65535;0;240;0;1;1;0;0;0;2;10;0;10;0;82;1
20;30;852;0;240;0;2;0;0;0;0;2;5;0;5;0;99;0
20;24;576;0;240;0;1;0;0;1;0;2;0;1;1;0;84;0
20;19;725;0;240;0;2;0;0;0;0;2;5;0;5;0;93;0
20;11;1191;0;240;0;1;0;0;0;0;1;1;0;1;0;54;0
20;14;787;0;240;0;1;0;0;0;0;1;4;0;4;0;88;0
20;26;512;0;240;0;2;0;3;0;0;5;3;3;6;0;97;0
20;31;853;0;240;0;0;0;0;0;0;0;1;0;1;0;54;0
20;10;512;0;240;0;1;0;1;0;0;2;1;1;2;0;73;0
20;6;1105;0;240;0;1;2;0;0;0;3;2;0;2;0;81;0
20;22;801;0;240;0;2;0;0;0;0;2;1;0;1;0;79;0
20;20;1024;0;240;0;2;0;0;0;0;2;1;0;1;0;67;0
20;16;914;0;240;0;0;0;0;1;0;1;2;0;2;0;61;0
20;4;818;0;240;0;4;0;2;0;0;6;1;2;3;0;106;0
20;25;768;0;240;0;0;0;0;0;0;0;1;0;1;0;80;0
20;28;847;0;240;0;1;0;0;0;0;1;2;0;2;0;70;0
22;29;808;0;240;0;1;0;0;0;0;1;3;0;3;0;86;0
22;9;1176;0;240;0;2;0;0;0;0;2;3;0;3;0;74;0
22;12;768;0;240;0;2;0;1;0;0;3;3;1;4;0;100;0
22;3;1024;0;240;0;2;1;0;0;0;3;1;0;1;0;78;0
22;7;768;0;240;0;1;0;0;0;0;1;0;0;0;0;67;0
22;21;785;0;240;0;1;0;0;0;0;1;2;0;2;0;73;0
22;5;525;0;240;0;1;0;0;0;0;1;1;0;1;0;92;0
22;8;768;0;240;0;0;0;0;0;0;0;1;0;1;0;54;0
22;17;534;0;240;0;1;0;1;0;1;3;3;2;5;0;131;0
22;18;65535;0;240;0;1;1;0;0;0;2;8;0;8;0;110;1
22;30;828;0;240;0;1;0;1;0;0;2;5;1;6;0;99;0
22;24;569;0;240;0;1;0;1;0;0;2;1;1;2;0;81;0
22;19;683;0;240;0;3;0;0;0;0;3;4;0;4;0;107;0
22;11;1182;0;240;0;1;1;0;0;0;2;1;0;1;0;63;0
22;14;787;0;240;0;1;0;0;0;0;1;1;0;1;0;62;0
22;26;512;0;240;0;1;0;2;0;0;3;4;2;6;0;101;0
22;31;853;0;240;0;1;0;0;0;0;1;2;0;2;0;67;0
22;10;537;0;240;0;1;0;1;0;0;2;3;1;4;0;93;0
22;6;1178;0;240;0;4;1;0;1;0;6;1;0;1;0;123;0
22;22;801;0;240;0;1;0;0;0;0;1;0;0;0;0;104;0
22;20;1024;0;240;0;2;0;0;0;0;2;1;0;1;0;62;0
22;16;912;0;240;0;2;0;1;0;0;3;2;1;3;0;87;0
22;4;800;0;240;0;1;0;0;0;1;2;8;1;9;0;93;0
22;25;768;0;240;0;1;1;0;0;0;2;2;0;2;0;73;0
22;28;847;0;240;0;0;0;0;0;0;0;0;0;0;0;54;0
24;29;808;0;240;0;1;1;0;0;0;2;5;0;5;0;66;0
24;9;1176;0;240;0;1;0;0;0;0;1;1;0;1;0;67;0
24;12;819;0;240;0;5;1;4;0;0;10;6;4;10;0;145;0
24;3;1024;0;240;0;2;4;0;0;0;6;5;0;5;0;98;0
24;7;768;0;240;0;1;0;0;0;0;1;3;0;3;0;59;0
24;21;785;0;240;0;1;0;0;0;0;1;0;0;0;0;78;0
24;5;520;0;240;0;1;0;0;0;0;1;2;0;2;0;81;0
24;8;768;0;240;0;2;0;1;0;0;3;2;1;3;0;71;0
24;17;525;0;240;0;1;0;0;0;0;1;5;1;6;0;75;0
24;18;65535;0;240;0;2;0;0;0;0;2;12;0;12;0;96;1
24;30;828;0;240;0;1;0;0;0;0;1;7;0;7;0;64;0
24;24;557;0;240;0;1;0;0;0;0;1;0;0;0;0;121;0
24;19;683;0;240;0;3;0;0;0;0;3;8;0;8;0;105;0
24;11;1182;0;240;0;0;0;0;0;0;0;2;0;2;0;53;0
24;14;787;0;240;0;0;0;0;0;0;0;5;0;5;0;80;0
24;26;512;0;240;0;2;0;6;0;0;8;8;6;14;0;79;0
24;31;841;0;240;0;2;0;0;0;0;2;2;0;2;0;93;0
24;10;531;0;240;0;1;0;1;0;0;2;6;1;7;0;77;0
24;6;1171;0;240;0;4;0;0;0;0;4;3;0;3;0;89;0
24;22;817;0;240;0;1;0;0;0;0;1;2;0;2;0;69;0
24;20;1024;0;240;0;2;1;0;0;0;3;3;0;3;0;91;0
24;16;910;0;240;0;1;0;0;0;0;1;2;0;2;0;95;0
24;4;796;0;240;0;4;0;0;1;0;5;6;0;6;0;95;0
24;25;793;0;240;0;2;0;0;0;0;2;1;0;1;0;68;0
24;28;841;0;240;0;1;0;0;0;0;1;0;0;0;0;55;0
26;29;804;0;240;0;2;0;0;0;0;2;3;0;3;0;71;0
26;9;1176;0;240;0;2;0;0;0;0;2;2;0;2;0;67;0
26;12;808;0;240;0;4;0;1;0;0;5;2;1;3;0;91;0
26;3;1075;0;240;0;1;1;0;0;0;2;3;0;3;0;63;0
26;7;768;0;240;0;1;0;0;0;0;1;0;0;0;0;68;0
26;21;785;0;240;0;0;0;0;0;0;0;1;0;1;0;53;0
26;5;520;0;240;0;1;0;0;0;0;1;1;0;1;0;77;0
26;8;787;0;240;0;1;0;0;0;0;1;2;0;2;0;68;0
26;17;525;0;240;0;1;0;0;0;0;1;5;0;5;0;79;0
26;18;65535;0;240;0;0;0;0;0;0;0;8;0;8;0;58;1
26;30;828;0;240;0;1;0;0;0;0;1;6;0;6;0;102;0
26;24;557;0;240;0;1;0;0;0;0;1;0;0;0;0;72;0
26;19;683;0;240;0;2;0;0;0;0;2;6;0;6;0;76;0
26;11;1178;0;240;0;1;0;0;0;0;1;1;0;1;0;52;0
26;14;783;0;240;0;2;0;0;0;0;2;1;0;1;0;67;0
26;26;512;0;240;0;1;0;1;0;0;2;3;1;4;0;70;0
26;31;838;0;240;0;1;0;0;0;0;1;0;0;0;0;55;0
26;10;531;0;240;0;1;0;0;0;0;1;4;0;4;0;70;0
26;6;1158;0;240;0;2;0;0;0;0;2;3;0;3;0;69;0
26;22;817;0;240;0;1;0;0;0;0;1;1;0;1;0;81;0
26;20;1024;0;240;0;1;0;0;0;0;1;0;0;0;0;60;0
26;16;910;0;240;0;0;0;0;0;0;0;2;0;2;0;64;0
26;4;796;0;240;0;4;0;0;0;0;4;3;0;3;0;74;0
26;25;793;0;240;0;1;0;0;0;0;1;1;0;1;0;57;0
26;28;841;0;240;0;1;0;0;0;0;1;1;0;1;0;62;0
28;29;785;0;240;0;1;4;0;0;0;5;6;0;6;0;101;0
28;9;1176;0;240;0;0;0;0;0;0;0;0;0;0;0;51;0
28;12;787;0;240;0;1;4;1;0;0;6;5;1;6;0;110;0
28;3;1064;0;240;0;2;1;0;0;0;3;1;0;1;0;74;0
28;7;768;0;240;0;1;0;0;0;0;1;6;0;6;0;77;0
28;21;785;0;240;0;1;0;0;0;0;1;2;0;2;0;93;0
28;5;518;0;240;0;1;0;0;0;0;1;0;0;0;0;105;0
28;8;787;0;240;0;1;0;0;0;0;1;2;0;2;0;83;0
28;17;521;0;240;0;1;0;0;0;0;1;5;0;5;0;78;0
28;18;65535;0;240;0;1;4;0;0;0;5;8;0;8;0;107;1
28;30;816;0;240;0;1;0;0;0;0;1;2;0;2;0;67;0
28;24;548;0;240;0;1;0;0;0;0;1;1;0;1;0;82;0
28;19;683;0;240;0;1;0;0;0;0;1;5;0;5;0;74;0
28;11;1175;0;240;0;1;0;0;0;0;1;1;0;1;0;75;0
28;14;779;0;240;0;1;0;0;0;0;1;0;0;0;0;96;0
28;26;512;0;240;0;5;0;13;0;0;18;3;13;16;0;172;0
28;31;835;0;240;0;1;0;0;0;0;1;2;0;2;0;97;0
28;10;531;0;240;0;0;0;0;0;0;0;5;0;5;0;78;0
28;6;1158;0;240;0;1;0;0;0;0;1;1;0;1;0;54;0
28;22;817;0;240;0;1;0;0;0;0;1;2;0;2;0;89;0
28;20;1024;0;240;0;1;0;0;0;0;1;1;0;1;0;68;0
28;16;910;0;240;0;2;0;0;0;0;2;0;0;0;0;91;0
28;4;793;0;240;0;2;0;0;0;0;2;1;0;1;0;80;0
28;25;793;0;240;0;1;0;0;0;0;1;1;0;1;0;86;0
28;28;832;0;240;0;1;0;0;0;0;1;1;0;1;0;70;0
30;29;785;0;240;0;1;1;0;0;0;2;2;0;2;0;79;0
30;9;1182;0;240;0;2;1;0;0;0;3;2;0;2;0;104;0
30;12;783;0;240;0;1;1;0;0;0;2;3;0;3;0;78;0
30;3;1064;0;240;0;2;0;0;0;0;2;1;0;1;0;60;0
30;7;768;0;240;0;1;0;0;0;0;1;0;0;0;0;53;0
30;21;785;0;240;0;2;0;0;0;0;2;4;0;4;0;90;0
30;5;518;0;240;0;2;0;0;0;0;2;5;0;5;0;64;0
30;8;787;0;240;0;1;0;0;0;0;1;0;0;0;0;75;0
30;17;521;0;240;0;1;0;0;0;0;1;5;0;5;0;69;0
30;18;808;0;240;0;1;1;0;0;0;2;4;0;4;0;90;0
30;30;816;0;240;0;1;0;0;0;0;1;1;0;1;0;61;0
30;24;537;0;240;0;2;0;3;0;0;5;4;3;7;0;84;0
30;19;649;0;240;0;2;0;0;0;0;2;5;0;5;0;117;0
30;11;1172;0;240;0;1;0;0;0;0;1;2;0;2;0;83;0
30;14;779;0;240;0;0;1;0;0;0;1;2;0;2;0;66;0
30;26;512;0;240;0;2;0;3;0;0;5;3;3;6;0;80;0
30;31;832;0;240;0;2;0;0;0;0;2;5;0;5;0;78;0
30;10;527;0;240;0;1;0;0;0;0;1;3;0;3;0;68;0
30;6;1158;0;240;0;0;0;0;0;0;0;1;0;1;0;57;0
30;22;807;0;240;0;1;0;0;0;0;1;1;0;1;0;54;0
30;20;1024;0;240;0;1;0;0;0;0;1;3;0;3;0;71;0
30;16;908;0;240;0;2;1;1;0;0;4;4;1;5;0;88;0
30;4;793;0;240;0;2;0;0;0;0;2;1;0;1;0;94;0
30;25;793;0;240;0;1;0;0;0;0;1;1;0;1;0;79;0
30;28;832;0;240;0;1;0;0;0;0;1;0;0;0;0;54;0
32;29;827;0;240;0;2;1;0;0;0;3;3;0;3;0;86;0
32;9;1182;0;240;0;0;0;0;0;0;0;3;0;3;0;66;0
32;12;779;0;240;0;2;1;1;0;0;4;2;1;3;0;91;0
32;3;1039;0;240;0;1;1;0;0;0;2;2;0;2;0;76;0
32;7;783;0;240;0;1;0;0;0;0;1;3;0;3;0;65;0
32;21;774;0;240;0;1;1;0;0;0;2;3;0;3;0;58;0
32;5;514;0;240;0;2;0;3;0;0;5;2;3;5;0;79;0
32;8;787;0;240;0;1;0;0;0;0;1;1;0;1;0;64;0
